FID,sta_seq,name,ylat,xlong,Strahler,HydroID,StrMi,SqMi,SqKm,Chg,OBJECTID,DrainID,SHAPE_Leng,SHAPE_Area,FNODE_,TNODE_,LPOLY_,RPOLY_,HSI_State_,NHDRCH_,NHDRCH_ID,FLOW,Enabled,checked,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
0,15100,Spruce Swamp Creek,41.981954000000002,-73.416555000000002,3,103003782,19.829999999999998,10.317294663000000,26.722000000000001,0,349,103003782,15060.000781999999163,5273999.702619999647141,3509,3595,1,1,3427.684792130000005,3502,16993,0,1,0,0.440000000000000,30296.000000000000000,21785.000000000000000,0.000000000000000,0.719071824660000,26.097508682899999,0.771633761490000,0.680780606000000,0.000000000000000,0.882258708700000,0.000000000000000,0.050428643470000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,6.000000000000000,2.000000000000000
1,15044,Kent Falls Brook,41.776899999999998,-73.419200000000004,3,103007507,16.236956471999999,5.472758243000000,14.173999999999999,0,385,103007507,5579.997189200000321,375299.639741000020877,7409,7395,1,1,533.249053398000001,7227,12978,0,1,0,0.000000000000000,16597.000000000000000,5031.000000000000000,0.000000000000000,0.303127071160000,6.238805098080000,0.173799614680000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.061587896830000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000
2,15580,Town Farm Brook,41.564799999999998,-73.393600000000006,3,103013254,5.350000000000000,2.570000000000000,6.656000000000000,0,762,103013254,25139.998743399999512,20328299.446499999612570,13061,13487,1,1,7631.761763409999730,13198,7121,0,1,0,0.000000000000000,7602.000000000000000,25596.000000000000000,0.000000000000000,3.367008681930000,0.075369081710000,0.007506578520000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.186915887850000,2.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
3,15997,Town Farm Brook,41.556199999999997,-73.391199999999998,3,103013254,5.350000000000000,2.570000000000000,6.656000000000000,0,762,103013254,25139.998743399999512,20328299.446499999612570,13061,13487,1,1,7631.761763409999730,13198,7121,0,1,0,0.000000000000000,7602.000000000000000,25596.000000000000000,0.000000000000000,3.367008681930000,0.075369081710000,0.007506578520000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.186915887850000,2.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
4,14227,Hemp Swamp Brook,41.429400000000001,-73.076599999999999,3,103016019,6.220000000000000,2.534519630000000,6.564000000000000,0,929,103016019,13020.000268100000540,3806099.676849999930710,16181,16208,142,142,2104.507523050000145,15907,3920,0,1,0,0.000000000000000,7611.000000000000000,17219.000000000000000,0.000000000000000,2.262383392460000,9.584498420319999,0.084739563320000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.803858520900000,2.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
5,14439,Salmon Creek (Salmon Kill),41.933700000000002,-73.390799999999999,4,103004077,66.346826686000000,31.722988116400000,82.162000000000006,0,1145,103004077,22499.997716999998374,10557899.704800000414252,4156,4259,1,1,5730.591487740000048,4133,16310,0,1,0,4.580000000000000,93558.000000000000000,89978.000000000000000,0.670000000000000,0.961734966550000,9.218464763560000,1.786556756430000,7.086307217000000,1.036643195500000,3.966460730400000,0.580246438730000,0.090433865490000,1.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,8.000000000000000,2.000000000000000
6,18476,Webatuck Creek,41.880462999999999,-73.497010000000003,4,103005092,53.696098810999999,33.811224136699998,87.570999999999998,0,1239,103005092,17100.001295900001423,8455500.069509999826550,4751,4889,1,1,4864.729159999999865,4756,15696,0,1,0,0.000000000000000,98653.000000000000000,128286.000000000000000,0.000000000000000,1.300376065600000,8.254294900880000,1.825847657260000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000
7,14341,Naugatuck River,41.789099999999998,-73.114500000000007,5,103007276,132.363146425999986,50.584096054100002,131.012000000000000,0,1440,103007276,15000.000525999999809,5914799.703820000402629,7022,7191,1,1,2962.247102589999940,6996,13365,0,1,0,0.000000000000000,152494.000000000000000,780027.000000000000000,0.000000000000000,5.115132398650000,3.267174596290000,1.866947042320000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.105769622270000,3.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,8.000000000000000,2.000000000000000
8,15581,Pond Brook,41.459699999999998,-73.327500000000001,4,103015303,39.492740251999997,12.260835531000000,31.754999999999999,0,4225,103015303,4500.000772190000134,473399.709042000002228,15525,15534,1,1,913.421530190999988,15247,4606,0,1,0,0.000000000000000,37548.000000000000000,168312.000000000000000,0.000000000000000,4.482582294660000,7.206920904090000,0.497646283470000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000
9,14688,Blackberry River,42.028399999999998,-73.339399999999998,4,103003349,91.640505001999998,44.269362056699997,114.656999999999996,0,7179,103003349,17039.996943900001497,6155999.765709999948740,3135,3120,1,1,1685.203404189999901,3069,17409,0,1,0,2.070000000000000,131715.000000000000000,175424.000000000000000,0.750000000000000,1.331845271990000,8.077870348370000,2.505182734970000,3.202763305500000,1.160421487500000,1.278454964900000,0.463208320620000,0.087297642020000,1.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,8.000000000000000,2.000000000000000
10,15531,Leadmine Brook,41.716400000000000,-73.060400000000001,4,103009658,64.851886441000005,22.062319286499999,57.140999999999998,0,7307,103009658,25620.000791900001786,15651900.267200000584126,9289,9586,1,1,5213.132628319999640,9378,11031,0,1,0,0.190000000000000,67396.000000000000000,208933.000000000000000,0.000000000000000,3.100080123450000,3.479427171420000,0.703694787250000,0.293973443500000,0.000000000000000,0.417757028790000,0.000000000000000,0.061679007650000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
11,16254,Shepaug River,41.656799999999997,-73.317999999999998,6,103010896,258.928757409000013,92.138927042700004,238.639000000000010,0,7380,103010896,25260.001303500001086,20876399.455200001597404,10489,10798,142,1,8879.189105199999176,10560,9799,0,1,0,61.490000000000002,280019.000000000000000,316379.000000000000000,0.800000000000000,1.129848331720000,3.830856633950000,4.189252847980000,95.139089688499993,1.237782920000000,22.710276304800001,0.295466271650000,0.038620661920000,1.000000000000000,3.000000000000000,2.000000000000000,2.000000000000000,8.000000000000000,2.000000000000000
12,14488,West Aspetuck River,41.604889000000000,-73.428788999999995,3,103012465,55.090642320999997,24.461188013400001,63.353999999999999,0,14072,103012465,34559.997984200002975,25266600.676800001412630,12258,12604,1,1,8823.450445790000231,12353,7967,0,1,0,0.000000000000000,72616.000000000000000,48972.000000000000000,0.000000000000000,0.674396827150000,2.844340195000000,0.720644521280000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.036303806160000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000
13,14223,Hancock Brook,41.588500000000003,-73.050299999999993,3,103012486,34.566853352000003,13.319695272000001,34.497999999999998,0,14076,103012486,16379.998223299999154,4140899.646749999839813,12521,12642,1,1,2252.666103529999873,12374,7701,0,1,0,0.000000000000000,40378.000000000000000,140606.000000000000000,0.000000000000000,3.482242805490000,7.912391997930000,0.576801196820000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.144647241940000,2.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
14,14348,Naugatuck River,41.763100000000001,-73.117300000000000,5,103007994,142.315861339000008,53.742751776699997,139.193000000000012,0,1497,103007994,5459.998725090000335,1122299.871529999887571,7829,7911,1,1,1064.469261400000050,7714,12535,0,1,0,0.000000000000000,162135.000000000000000,847879.000000000000000,7.000000000000000,5.229463101740000,3.483304745030000,2.075307685540000,0.000000000000000,10.830600550000000,0.000000000000000,5.218792676130000,0.098372731390000,3.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,9.000000000000000,3.000000000000000
15,15253,West Branch Bantam River,41.758000000000003,-73.186099999999996,4,103008170,24.934693710000001,8.010599160600000,20.747000000000000,0,1506,103008170,13080.002572199999122,4930199.809500000439584,7757,8086,1,1,4874.747319940000125,7890,12612,0,1,0,0.000000000000000,24542.000000000000000,30447.000000000000000,0.000000000000000,1.240607937410000,0.172389160200000,0.045276176190000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000
16,17181,WEST BRANCH BANTAM RIVER,41.762799999999999,-73.189700000000002,4,103008170,24.934693710000001,8.010599160600000,20.747000000000000,0,1506,103008170,13080.002572199999122,4930199.809500000439584,7757,8086,1,1,4874.747319940000125,7890,12612,0,1,0,0.000000000000000,24542.000000000000000,30447.000000000000000,0.000000000000000,1.240607937410000,0.172389160200000,0.045276176190000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000
17,14456,Steele Brook,41.580500000000001,-73.070300000000003,4,103012916,36.237073023999997,16.252503867700000,42.094000000000001,0,1820,103012916,42479.999015599998529,48887099.223200000822544,12687,13076,173,142,9065.507885189999797,12804,7516,0,1,0,1.480000000000000,49036.000000000000000,854490.000000000000000,0.000000000000000,17.425768822900000,4.681391679480000,0.563827412020000,2.289898402000000,0.000000000000000,4.061346350290000,0.000000000000000,0.165576286920000,3.000000000000000,3.000000000000000,3.000000000000000,1.000000000000000,10.000000000000000,3.000000000000000
18,17637,Hop Brook,41.560274000000000,-73.116705999999994,3,103013091,12.692387157000001,3.354879920000000,8.689000000000000,0,1835,103013091,13620.002828700000464,3916799.577209999784827,13231,13309,142,142,1537.337535829999979,13035,6944,0,1,0,0.000000000000000,10410.000000000000000,27563.000000000000000,0.000000000000000,2.647742555240000,5.635680003710000,0.091154074500000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000
19,18270,Wewaka Brook,41.501030000000000,-73.349699999999999,1,103014283,2.460000000000000,1.628038484000000,4.217000000000000,0,1915,103014283,28800.000026800000342,17872199.741399999707937,14181,14515,1,1,5751.504754259999572,14227,5960,0,1,0,0.000000000000000,4721.000000000000000,5987.000000000000000,0.000000000000000,1.268163524680000,0.000000000000000,0.001559129080000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000
20,14792,Long Meadow Pond Brook,41.486400000000003,-73.055599999999998,3,103014698,17.677315299000000,8.104484779300000,20.991000000000000,0,1937,103014698,3600.001027350000186,309599.785534999973606,14984,14981,142,142,525.424908832000028,14698,5154,0,1,0,0.000000000000000,24389.000000000000000,170967.000000000000000,0.000000000000000,7.010004510230000,10.766617699899999,0.368503707010000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.169709028170000,3.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,8.000000000000000,2.000000000000000
21,14273,Limekiln Brook,41.409599999999998,-73.414199999999994,4,103016278,36.483168106000001,13.065745127800000,33.840000000000003,0,2018,103016278,1260.001281170000084,31500.053818299998966,16535,16530,1,242,121.713361985000006,16222,3557,0,1,0,0.700000000000000,39905.000000000000000,365206.000000000000000,15.500000000000000,9.151885728610001,18.919389842600001,0.874131216970000,1.083060055000000,23.982044075000001,1.239013129800000,27.435290731300000,0.027409900290000,3.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,11.000000000000000,3.000000000000000
22,14280,Little River,41.405799999999999,-73.092600000000004,4,103016526,33.653940169999998,14.099316890000001,36.517000000000003,0,2036,103016526,11640.002570799999376,5230799.456779999658465,16694,16775,142,142,1321.198912430000064,16470,3395,0,1,0,0.370000000000000,42123.000000000000000,120998.000000000000000,0.000000000000000,2.872492462550000,8.089995836880000,0.624992688210000,0.572474600500000,0.000000000000000,0.915970076610000,0.000000000000000,0.059428405410000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
