Cruise,Start Date
BOLDA09,8/10/2009
BOLDB09,8/11/2009
BOLDC09,8/11/2009
BOLDD09,8/11/2009
BOLDE09,8/11/2009
BOLDF09,8/12/2009
BOLDG09,8/12/2009
BOLDH09,8/12/2009
BOLDI09,8/12/2009
BOLDJ09,8/13/2009
BOLDK09,8/13/2009
BOLDL09,8/13/2009
CHFEB00,2/16/2000
CHFEB01,2/20/2001
CHFEB02,2/19/2002
CHFEB04,2/19/2004
CHFEB08,2/22/2008
CHFEB09,2/17/2009
CHFEB11,2/17/2011
CHFEB12,2/16/2012
CHFEB13,2/14/2013
CHFEB14,2/20/2014
CHFEB16,2/17/2016
CHFEB17,2/21/2017
CHFEB18,2/20/2018
CHFEB19,2/21/2019
CHFEB92,2/19/1992
CHFEB98,2/19/1998
CHFEB99,2/16/1999
CHMAR00,3/15/2000
CHMAR02,3/21/2002
CHMAR03,3/18/2003
CHMAR04,3/18/2004
CHMAR07,3/19/2007
CHMAR08,3/18/2008
CHMAR09,3/16/2009
CHMAR10,3/17/2010
CHMAR12,3/15/2012
CHMAR14,3/18/2014
CHMAR15,3/19/2015
CHMAR16,3/23/2016
CHMAR98,3/24/1998
CHMAR99,3/25/1999
Cruise,
EMAUG16,8/3/2016
EMJUL16,7/11/2016
EMJUN16,6/15/2016
EMJUN17,6/22/2017
EMOCT16,10/3/2016
EMSEP16,9/9/2016
HYAUG00,8/15/2000
HYAUG01,8/20/2001
HYAUG02,8/22/2002
HYAUG03,8/19/2003
HYAUG04,8/19/2004
HYAUG05,8/16/2005
HYAUG06,8/16/2006
HYAUG07,8/13/2007
HYAUG08,8/20/2008
HYAUG09,8/18/2009
HYAUG10,8/17/2010
HYAUG11,8/15/2011
HYAUG12,8/14/2012
HYAUG13,8/12/2013
HYAUG14,8/18/2014
HYAUG15,8/17/2015
HYAUG16,8/16/2016
HYAUG17,8/14/2017
HYAUG18,8/13/2018
HYAUG19,8/12/2019
HYAUG20,8/25/2020
HYAUG21,8/16/2021
HYAUG91,8/21/1991
HYAUG92,8/17/1992
HYAUG93,8/17/1993
HYAUG94,8/16/1994
HYAUG95,8/14/1995
HYAUG96,8/20/1996
HYAUG97,8/19/1997
HYAUG98,8/17/1998
HYAUG99,8/17/1999
HYJUL00,7/18/2000
HYJUL01,7/24/2001
